edition_key,source_title,issuing_body,source_document,source_url,document_revision_date,document_superseded_by_revision_date,crop,source_page,source_serial,formulation,active_ingredient,product_mapping_strategy,product_exact_name,target_problem,dose_value,dose_unit,dose_basis,phi_min_days,phi_max_days,phi_note,mrls,no_mrl_required,systemic_class,restrictions,resistance_markers,max_applications_per_season,min_application_interval_days,max_application_interval_days,application_interval_note,stage_restrictions,review_status,review_notes
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,5,1,Amisulbrom 17.7 SC,Amisulbrom,exact_name,Amisulbrom 17.7 SC,downy mildew,0.5,ml/L,per_liter_water,30,30,Verify PHI against live Annexure revision,EU|amisulbrom|0.50|mg/kg,false,CAA fungicide,Do not exceed edition default application count,FRAC 21,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Starter row from known Annexure-5-style entry; human must verify serial/page/formulation against live PDF
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,5,2,Azoxystrobin 23 SC,Azoxystrobin,exact_name,Azoxystrobin 23 SC,downy mildew,1.0,ml/L,per_liter_water,15,15,Verify PHI against live Annexure revision,EU|azoxystrobin|3.00|mg/kg,false,QoI fungicide,Rotate with non-QoI chemistry,FRAC 11,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Starter row from commonly cited grape Annexure MRL; human must verify all fields
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,5,3,Cyazofamid 34.5 SC,Cyazofamid,exact_name,Cyazofamid 34.5 SC,downy mildew,0.7,ml/L,per_liter_water,30,30,Verify PHI against live Annexure revision,EU|cyazofamid|2.00|mg/kg,false,QoI-like fungicide,Rotate modes of action,FRAC 21,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Starter row from commonly cited grape Annexure MRL; human must verify all fields
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,6,4,Mancozeb 75 WP,Mancozeb,exact_name,Mancozeb 75 WP,downy mildew,2.5,g/L,per_liter_water,66,66,Verify PHI against live Annexure revision,EU|mancozeb|0.03|mg/kg,false,Dithiocarbamate fungicide,Do not apply close to harvest; verify residue expression in live source,FRAC M03,2,7,15,Document-wide rule unless row exception is verified,,pending_review,MRL/residue expression needs second-person source check
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,6,5,Metalaxyl-M 4% + Mancozeb 64% WP,Metalaxyl-M + Mancozeb,exact_name,Metalaxyl-M 4% + Mancozeb 64% WP,downy mildew,2.5,g/L,per_liter_water,66,66,Verify PHI against live Annexure revision,EU|metalaxyl|1.00|mg/kg;EU|mancozeb|0.03|mg/kg,false,Phenylamide + dithiocarbamate fungicide,Combination product; verify both active residues,FRAC 4 + M03,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Combination row included to exercise multiple MRL child rows
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,7,6,Difenoconazole 25 EC,Difenoconazole,exact_name,Difenoconazole 25 EC,powdery mildew,0.5,ml/L,per_liter_water,45,45,Verify PHI against live Annexure revision,EU|difenoconazole|3.00|mg/kg,false,DMI fungicide,Rotate with non-DMI chemistry,FRAC 3,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Starter row needs source verification before verified status
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,7,7,Tebuconazole 25.9 EC,Tebuconazole,exact_name,Tebuconazole 25.9 EC,powdery mildew,1.0,ml/L,per_liter_water,45,45,Verify PHI against live Annexure revision,EU|tebuconazole|2.00|mg/kg,false,DMI fungicide,Rotate with non-DMI chemistry,FRAC 3,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Starter row needs source verification before verified status
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,8,8,Spirotetramat 15.31 OD,Spirotetramat,exact_name,Spirotetramat 15.31 OD,mealybug,0.7,ml/L,per_liter_water,60,60,Verify PHI against live Annexure revision,EU|spirotetramat|2.00|mg/kg,false,Tetramic acid insecticide,Verify pest/stage restriction in live source,IRAC 23,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Starter row needs source verification before verified status
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,8,9,Abamectin 1.9 EC,Abamectin,exact_name,Abamectin 1.9 EC,mites,0.5,ml/L,per_liter_water,30,30,Verify PHI against live Annexure revision,EU|abamectin|0.01|mg/kg,false,Avermectin insecticide,Verify mite-specific label restriction in live source,IRAC 6,2,7,15,Document-wide rule unless row exception is verified,,pending_review,Starter row needs source verification before verified status
icar-nrcg-grapes-2025-09-17,ICAR-NRCG Annexure 5 Grapes 2025-26,ICAR-NRCG,Annexure 5 Grapes-2025-26 17.09.2025.pdf,https://nrcgrapes.in,2025-09-17,2025-11-03,grape,9,10,Sulphur 80 WDG,Sulphur,exact_name,Sulphur 80 WDG,powdery mildew,2.0,g/L,per_liter_water,0,0,Verify whether PHI is not applicable or zero-day in live revision,IN|sulphur||mg/kg,true,Inorganic protectant,Do not use under heat stress; verify crop-stage warning,FRAC M02,2,7,15,Document-wide rule unless row exception is verified,,pending_review,No-MRL-required marker is pending source review and must not be treated as verified
